Date,Hour,sellPriceIndex
2012-01-16,23,773.000
2012-01-17,0,697.000
2012-01-17,1,630.000
2012-01-17,2,556.000
2012-01-17,3,533.000
2012-01-17,4,577.000
2012-01-17,5,604.000
2012-01-17,6,741.000
2012-01-17,7,875.000
2012-01-17,8,917.000
2012-01-17,9,934.000
2012-01-17,10,934.000
2012-01-17,11,918.000
2012-01-17,12,919.000
2012-01-17,13,925.000
2012-01-17,14,930.000
2012-01-17,15,915.000
2012-01-17,16,919.000
2012-01-17,17,935.000
2012-01-17,18,953.000
2012-01-17,19,953.000
2012-01-17,20,911.000
2012-01-17,21,903.000
2012-01-17,22,876.000
2012-01-17,23,754.000
2012-01-18,0,684.000
2012-01-18,1,600.000
2012-01-18,2,538.000
2012-01-18,3,562.000
2012-01-18,4,578.000
2012-01-18,5,595.000
2012-01-18,6,752.000
2012-01-18,7,869.000
2012-01-18,8,929.000
2012-01-18,9,947.000
2012-01-18,10,947.000
2012-01-18,11,935.000
2012-01-18,12,941.000
2012-01-18,13,945.000
2012-01-18,14,950.000
2012-01-18,15,933.000
2012-01-18,16,937.000
2012-01-18,17,941.000
2012-01-18,18,951.000
2012-01-18,19,949.000
2012-01-18,20,922.000
2012-01-18,21,896.000
2012-01-18,22,848.000
2012-01-18,23,727.000
2012-01-19,0,672.000
2012-01-19,1,613.000
2012-01-19,2,576.000
2012-01-19,3,563.000
2012-01-19,4,602.000
2012-01-19,5,621.000
2012-01-19,6,772.000
2012-01-19,7,938.000
2012-01-19,8,988.000
2012-01-19,9,999.000
2012-01-19,10,981.000
2012-01-19,11,954.000
2012-01-19,12,957.000
2012-01-19,13,969.000
2012-01-19,14,972.000
2012-01-19,15,953.000
2012-01-19,16,961.000
2012-01-19,17,972.000
2012-01-19,18,975.000
2012-01-19,19,969.000
2012-01-19,20,932.000
2012-01-19,21,899.000
2012-01-19,22,840.000
2012-01-19,23,757.000
2012-01-20,0,677.000
2012-01-20,1,619.000
2012-01-20,2,584.000
2012-01-20,3,560.000
2012-01-20,4,580.000
2012-01-20,5,610.000
2012-01-20,6,803.000
2012-01-20,7,993.000
2012-01-20,8,1014.000
2012-01-20,9,1028.000
2012-01-20,10,1011.000
2012-01-20,11,993.000
2012-01-20,12,994.000
2012-01-20,13,998.000
2012-01-20,14,1005.000
2012-01-20,15,994.000
2012-01-20,16,997.000
2012-01-20,17,998.000
2012-01-20,18,1004.000
2012-01-20,19,995.000
2012-01-20,20,974.000
2012-01-20,21,942.000
2012-01-20,22,869.000
2012-01-20,23,772.000
2012-01-21,0,865.000
2012-01-21,1,669.000
2012-01-21,2,647.000
2012-01-21,3,628.000
2012-01-21,4,629.000
2012-01-21,5,599.000
2012-01-21,6,681.000
2012-01-21,7,790.000
2012-01-21,8,968.000
2012-01-21,9,994.000
2012-01-21,10,992.000
2012-01-21,11,990.000
2012-01-21,12,982.000
2012-01-21,13,987.000
2012-01-21,14,998.000
2012-01-21,15,1009.000
2012-01-21,16,1014.000
2012-01-21,17,1017.000
2012-01-21,18,1018.000
2012-01-21,19,1008.000
2012-01-21,20,991.000
2012-01-21,21,960.000
2012-01-21,22,908.000
2012-01-21,23,830.000
2012-01-22,0,670.000
2012-01-22,1,647.000
2012-01-22,2,594.000
2012-01-22,3,572.000
2012-01-22,4,575.000
2012-01-22,5,593.000
2012-01-22,6,570.000
2012-01-22,7,647.000
2012-01-22,8,776.000
2012-01-22,9,867.000
2012-01-22,10,908.000
2012-01-22,11,909.000
2012-01-22,12,909.000
2012-01-22,13,907.000
2012-01-22,14,929.000
2012-01-22,15,964.000
2012-01-22,16,965.000
2012-01-22,17,975.000
2012-01-22,18,985.000
2012-01-22,19,971.000
2012-01-22,20,951.000
2012-01-22,21,918.000
2012-01-22,22,867.000
2012-01-22,23,785.000
2012-01-23,0,694.000
2012-01-23,1,647.000
2012-01-23,2,601.000
2012-01-23,3,581.000
2012-01-23,4,576.000
2012-01-23,5,660.000
2012-01-23,6,786.000
2012-01-23,7,963.000
2012-01-23,8,992.000
2012-01-23,9,1008.000
2012-01-23,10,992.000
2012-01-23,11,973.000
2012-01-23,12,970.000
2012-01-23,13,972.000
2012-01-23,14,975.000
2012-01-23,15,972.000
2012-01-23,16,974.000
2012-01-23,17,973.000
2012-01-23,18,967.000
2012-01-23,19,962.000
2012-01-23,20,933.000
2012-01-23,21,899.000
2012-01-23,22,870.000
2012-01-23,23,725.000
2012-01-24,0,661.000
2012-01-24,1,600.000
2012-01-24,2,539.000
2012-01-24,3,556.000
2012-01-24,4,582.000
2012-01-24,5,654.000
2012-01-24,6,789.000
2012-01-24,7,936.000
2012-01-24,8,975.000
2012-01-24,9,979.000
2012-01-24,10,974.000
2012-01-24,11,959.000
2012-01-24,12,961.000
2012-01-24,13,963.000
2012-01-24,14,968.000
2012-01-24,15,954.000
2012-01-24,16,964.000
2012-01-24,17,968.000
2012-01-24,18,974.000
2012-01-24,19,962.000
2012-01-24,20,931.000
2012-01-24,21,920.000
2012-01-24,22,871.000
2012-01-24,23,720.000
2012-01-25,0,685.000
2012-01-25,1,616.000
2012-01-25,2,564.000
2012-01-25,3,589.000
2012-01-25,4,610.000
2012-01-25,5,686.000
2012-01-25,6,815.000
2012-01-25,7,912.000
2012-01-25,8,948.000
2012-01-25,9,968.000
2012-01-25,10,1033.000
2012-01-25,11,1014.000
2012-01-25,12,992.000
2012-01-25,13,963.000
2012-01-25,14,942.000
2012-01-25,15,941.000
2012-01-25,16,934.000
2012-01-25,17,940.000
2012-01-25,18,956.000
2012-01-25,19,960.000
2012-01-25,20,930.000
2012-01-25,21,914.000
2012-01-25,22,872.000
2012-01-25,23,745.000
2012-01-26,0,672.000
2012-01-26,1,626.000
2012-01-26,2,576.000
2012-01-26,3,580.000
2012-01-26,4,610.000
2012-01-26,5,686.000
2012-01-26,6,769.000
2012-01-26,7,894.000
2012-01-26,8,977.000
2012-01-26,9,998.000
2012-01-26,10,1038.000
2012-01-26,11,963.000
2012-01-26,12,954.000
2012-01-26,13,958.000
2012-01-26,14,959.000
2012-01-26,15,933.000
2012-01-26,16,916.000
2012-01-26,17,922.000
2012-01-26,18,959.000
2012-01-26,19,962.000
2012-01-26,20,925.000
2012-01-26,21,880.000
2012-01-26,22,822.000
2012-01-26,23,747.000
2012-01-27,0,719.000
2012-01-27,1,665.000
2012-01-27,2,640.000
2012-01-27,3,634.000
2012-01-27,4,647.000
2012-01-27,5,745.000
2012-01-27,6,821.000
2012-01-27,7,955.000
2012-01-27,8,1016.000
2012-01-27,9,1072.000
2012-01-27,10,1126.000
2012-01-27,11,1034.000
2012-01-27,12,1037.000
2012-01-27,13,1034.000
2012-01-27,14,1011.000
2012-01-27,15,959.000
2012-01-27,16,963.000
2012-01-27,17,966.000
2012-01-27,18,992.000
2012-01-27,19,979.000
2012-01-27,20,936.000
2012-01-27,21,898.000
2012-01-27,22,861.000
2012-01-27,23,771.000
2012-01-28,0,813.000
2012-01-28,1,699.000
2012-01-28,2,663.000
2012-01-28,3,654.000
2012-01-28,4,652.000
2012-01-28,5,655.000
2012-01-28,6,747.000
2012-01-28,7,882.000
2012-01-28,8,920.000
2012-01-28,9,933.000
2012-01-28,10,941.000
2012-01-28,11,937.000
2012-01-28,12,931.000
2012-01-28,13,926.000
2012-01-28,14,931.000
2012-01-28,15,933.000
2012-01-28,16,936.000
2012-01-28,17,967.000
2012-01-28,18,985.000
2012-01-28,19,970.000
2012-01-28,20,941.000
2012-01-28,21,915.000
2012-01-28,22,874.000
2012-01-28,23,824.000
2012-01-29,0,703.000
2012-01-29,1,663.000
2012-01-29,2,628.000
2012-01-29,3,609.000
2012-01-29,4,607.000
2012-01-29,5,646.000
2012-01-29,6,629.000
2012-01-29,7,729.000
2012-01-29,8,788.000
2012-01-29,9,851.000
2012-01-29,10,870.000
2012-01-29,11,878.000
2012-01-29,12,878.000
2012-01-29,13,877.000
2012-01-29,14,882.000
2012-01-29,15,882.000
2012-01-29,16,914.000
2012-01-29,17,932.000
2012-01-29,18,973.000
2012-01-29,19,966.000
2012-01-29,20,930.000
2012-01-29,21,888.000
2012-01-29,22,854.000
2012-01-29,23,791.000
2012-01-30,0,696.000
2012-01-30,1,667.000
2012-01-30,2,630.000
2012-01-30,3,616.000
2012-01-30,4,626.000
2012-01-30,5,678.000
