Date,Hour,sellFullPlannedVolume
2012-01-14,14,99014.969
2012-01-14,15,99491.445
2012-01-14,16,101084.641
2012-01-14,17,103045.383
2012-01-14,18,104357.148
2012-01-14,19,103494.500
2012-01-14,20,101437.969
2012-01-14,21,99190.172
2012-01-14,22,96015.156
2012-01-14,23,92106.523
2012-01-15,0,88555.555
2012-01-15,1,86739.867
2012-01-15,2,85574.844
2012-01-15,3,85136.516
2012-01-15,4,85517.492
2012-01-15,5,86812.680
2012-01-15,6,88159.602
2012-01-15,7,90160.484
2012-01-15,8,92525.016
2012-01-15,9,94530.336
2012-01-15,10,95749.602
2012-01-15,11,96349.523
2012-01-15,12,96495.484
2012-01-15,13,96618.211
2012-01-15,14,97098.109
2012-01-15,15,97743.094
2012-01-15,16,99588.109
2012-01-15,17,102057.836
2012-01-15,18,103600.242
2012-01-15,19,103059.305
2012-01-15,20,101062.805
2012-01-15,21,98880.789
2012-01-15,22,95853.211
2012-01-15,23,91646.359
2012-01-16,0,89272.102
2012-01-16,1,86529.500
2012-01-16,2,85948.359
2012-01-16,3,86179.789
2012-01-16,4,87697.117
2012-01-16,5,89782.781
2012-01-16,6,95049.805
2012-01-16,7,99618.734
2012-01-16,8,103851.906
2012-01-16,9,105957.102
2012-01-16,10,105837.492
2012-01-16,11,105086.148
2012-01-16,12,105159.289
2012-01-16,13,105678.625
2012-01-16,14,105537.930
2012-01-16,15,104834.078
2012-01-16,16,105303.352
2012-01-16,17,106791.695
2012-01-16,18,107688.664
2012-01-16,19,106584.000
2012-01-16,20,104391.383
2012-01-16,21,102508.859
2012-01-16,22,98667.727
2012-01-16,23,94166.039
2012-01-17,0,90670.406
2012-01-17,1,88115.266
2012-01-17,2,86958.195
2012-01-17,3,86923.586
2012-01-17,4,88312.562
2012-01-17,5,89988.320
2012-01-17,6,94984.578
2012-01-17,7,100332.078
2012-01-17,8,104655.414
2012-01-17,9,106459.852
2012-01-17,10,105990.430
2012-01-17,11,104988.406
2012-01-17,12,104827.547
2012-01-17,13,105503.953
2012-01-17,14,105316.820
